problem_id,problem_title,problem_solved,category,submit_id,user_id,result,memory,time,language,code
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91574281,tjdgus2021,맞았습니다!!,32412,36,Python 3,"a, b = map(int, input().split())
c=a+b
print(c)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91574047,etg2004,맞았습니다!!,32412,40,Python 3,"x, y = input().split()
print (int(x)+int(y))"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91573619,cbg10101,런타임 에러 (NameError),,,Python 3,print(A+B)
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91573589,cbg10101,런타임 에러 (NameError),,,Python 3,print(A+B)
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91573551,cbg10101,컴파일 에러,,,Python 3,A=1 B=2 print(A+B)
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91573474,cbg10101,틀렸습니다,,,Python 3,"a = 1
b = 2
print (a + b)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91573438,chyunjin06,맞았습니다!!,32412,36,Python 3,"A, B=map(int,input().split())

print(A+B)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91573410,hwiyeolj,맞았습니다!!,32412,36,Python 3,"# 1 2
# ['1', '2']
# [1, 2]
a, b = map(int, input().split())

print(a+b)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91573396,chyunjin06,런타임 에러 (ValueError),,,Python 3,"A, B=map(int(input()).split())

print(A+B)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91573366,cbg10101,틀렸습니다,,,Python 3,"A = 1
B = 2
print(A+B)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91572681,algo1040,맞았습니다!!,32412,44,Python 3,"a, b = map(int, input().split())
print(a+b)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91572313,ericht,런타임 에러 (TypeError),,,Python 3,"A, B = int(input().split())
print(A+B)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91572251,min1101,맞았습니다!!,32412,44,Python 3,"a,b=input().split()
print(int(a)+int(b))"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91572192,sjpark0306,맞았습니다!!,32412,44,Python 3,"a, b = input().split()
a, b = int(a), int(b)
print(a+b)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91572190,min1101,런타임 에러 (TypeError),,,Python 3,"a,b=int(input().split())
print(a+b)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91572158,sjpark0306,컴파일 에러,,,Python 3,"1, 2 = input().split()
1, 2 = int(a), int(b)
print(a+b)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91572124,sjpark0306,틀렸습니다,,,Python 3,"a, b = input().split()
a, b = int(1), int(2)
print(a+b)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91572016,sjpark0306,런타임 에러 (EOFError),,,Python 3,"A = input(1)
B = input(2)
print(int(A)+int(B))"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91571976,sjpark0306,런타임 에러 (EOFError),,,Python 3,"A = input(1)
B = input(2)
print(int(A)+int(B))"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91571937,sjpark0306,런타임 에러 (EOFError),,,Python 3,"A = input(1)
B = input(2)
print(int(A)+int(B))"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91571921,min1101,런타임 에러 (ValueError),,,Python 3,"a=int(input('a= '))
b=int(input('b= '))
print(a+b)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91571794,sjpark0306,틀렸습니다,,,Python 3,print(1+2)
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91571677,kevin060729,맞았습니다!!,32412,40,Python 3,"A,B = map(int,input().split())

print(A+B)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91571409,shin740670,컴파일 에러,,,Python 3,"int num1 = int(input())
int num2 = int(input())

print(num1 + num2)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91571192,misheel,맞았습니다!!,32412,36,Python 3,"A, B = map(int, input().split())
print(A + B)
"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91571163,ohesung,런타임 에러 (TypeError),,,Python 3,"A, B = int(input().split())
print(A+B)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91571079,misheel,런타임 에러 (ValueError),,,Python 3,"A=int(input())
B=int(input())    
print(A+B)   "
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570952,etg2004,틀렸습니다,,,Python 3,"def add (A, B):
    return (A + B)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570920,sonhoo772,맞았습니다!!,32412,40,Python 3,"A, B = map(int, input().split())
print(A + B)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570891,misheel,틀렸습니다,,,Python 3,"A=1
B=2
print(A+B)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570864,sonhoo772,런타임 에러 (TypeError),,,Python 3,"A, B = map(int(input().split()))
print(A + B)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570641,yuns1225,맞았습니다!!,32412,40,Python 3,"a,b = map(int, input().split())
print(a+b)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570536,yuns1225,런타임 에러 (TypeError),,,Python 3,"a,b = int(input().split())
print(a+b)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570523,greengamja,맞았습니다!!,32412,40,Python 3,"a ,b = map(int,input().split())

print(a+b)
"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91570483,yuns1225,틀렸습니다,,,Python 3,"a,b = input().split()
print(a+b)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91569833,tmdwns7429,맞았습니다!!,32412,40,Python 3,"# 백준 1000번
A, B = map(int,input().split())
print(A+B)"
 1000번,A+B,38.554%,"수학, 구현, 사칙연산",91569372,saiyono,틀렸습니다,,,Python 3,"A = 1
B = 2
print(A + B)"
